from,to,distance
13,254,87.2
257,102,132.2
99,150,122.2
254,257,23.3
150,14,122.0
102,100,23.9
103,99,25.6
198,192,25.5
197,221,28.3
221,346,185.0
345,16,103.1
346,345,21.8
15,198,320.8
149,15,55.7
16,347,75.1
136,149,136.9
347,135,117.1
107,136,109.5
135,110,110.8
110,117,25.5
113,107,17.0
117,118,78.2
117,119,78.2
124,113,149.3
118,125,79.5
119,125,79.5
4,124,119.5
320,124,119.5
125,128,127.5
125,129,127.5
155,4,174.9
155,320,174.9
70,4,174.9
70,320,174.9
128,184,237.3
128,185,237.3
129,184,237.3
129,185,237.3
223,155,243.9
223,70,243.9
71,155,243.9
71,70,243.9
184,174,168.7
184,341,168.7
185,174,168.7
185,341,168.7
220,223,22.1
220,71,22.1
72,223,22.1
72,71,22.1
174,171,29.4
174,342,29.4
341,171,29.4
341,342,29.4
204,220,293.9
204,72,293.9
74,220,293.9
74,72,293.9
171,211,286.1
171,63,286.1
342,211,286.1
342,63,286.1
211,208,25.9
211,64,25.9
63,208,25.9
63,64,25.9
201,204,24.9
201,74,24.9
75,204,24.9
75,74,24.9
2,201,324.8
2,75,324.8
77,201,324.8
77,75,324.8
3,2,31.3
3,77,31.3
78,2,31.3
78,77,31.3
208,242,547.6
208,243,547.6
64,242,547.6
64,243,547.6
5,3,246.7
5,78,246.7
242,190,57.1
243,190,57.1
6,5,20.5
190,229,56.9
227,6,48.3
228,6,48.3
196,227,193.0
196,228,193.0
237,227,193.0
237,228,193.0
229,234,235.8
229,235,235.8
200,196,21.2
200,237,21.2
232,196,21.2
232,237,21.2
281,200,146.7
281,232,146.7
282,200,146.7
282,232,146.7
234,277,139.9
234,278,139.9
235,277,139.9
235,278,139.9
277,284,32.0
277,287,32.0
278,284,32.0
278,287,32.0
266,281,70.7
266,282,70.7
267,281,70.7
267,282,70.7
284,264,30.2
284,268,30.2
287,264,30.2
287,268,30.2
271,266,44.8
271,267,44.8
272,266,44.8
272,267,44.8
145,263,174.2
263,9,576.2
340,339,22.6
339,161,228.3
161,271,371.7
161,272,371.7
264,9,679.4
268,9,679.4
161,146,457.7
146,178,576.7
178,182,31.4
183,180,22.9
182,323,366.5
324,183,376.2
337,336,31.5
334,335,28.6
336,19,130.5
18,334,140.0
21,18,160.6
23,18,160.6
19,354,289.1
19,283,289.1
19,28,289.1
19,30,289.1
354,274,78.8
354,275,78.8
354,31,78.8
283,274,78.8
283,275,78.8
283,31,78.8
28,274,78.8
28,275,78.8
28,31,78.8
30,274,78.8
30,275,78.8
30,31,78.8
274,350,73.9
274,27,73.9
275,350,73.9
275,27,73.9
31,350,73.9
31,27,73.9
270,21,284.1
270,23,284.1
32,21,284.1
32,23,284.1
350,351,26.0
350,24,26.0
27,351,26.0
27,24,26.0
351,352,49.8
351,26,49.8
24,352,49.8
24,26,49.8
73,270,104.4
73,32,104.4
76,270,104.4
76,32,104.4
352,90,89.3
352,94,89.3
26,90,89.3
26,94,89.3
90,82,33.4
90,85,33.4
94,82,33.4
94,85,33.4
256,73,178.0
256,76,178.0
258,73,178.0
258,76,178.0
65,73,178.0
65,76,178.0
82,33,86.4
85,33,86.4
33,273,102.2
33,40,102.2
187,256,115.3
187,258,115.3
187,65,115.3
188,256,115.3
188,258,115.3
188,65,115.3
269,187,13.6
269,188,13.6
34,187,13.6
34,188,13.6
163,168,29.5
163,91,29.5
89,168,29.5
89,91,29.5
193,169,33.8
193,87,33.8
88,169,33.8
88,87,33.8
7,8,34.1
7,86,34.1
84,8,34.1
84,86,34.1
1,0,33.6
1,93,33.6
92,0,33.6
92,93,33.6
160,111,29.5
160,120,29.5
111,159,60.0
120,159,60.0
159,151,33.7
159,181,33.7
104,126,149.5
121,104,201.6
130,127,364.5
127,127,0.0
317,325,92.2
158,157,177.1
331,156,206.8
8,193,308.2
8,88,308.2
86,193,308.2
86,88,308.2
168,1,338.3
168,92,338.3
91,1,338.3
91,92,338.3
209,7,375.3
209,84,375.3
210,7,375.3
210,84,375.3
0,357,337.5
0,95,337.5
93,357,337.5
93,95,337.5
162,209,134.1
162,210,134.1
165,209,134.1
165,210,134.1
357,164,132.9
357,166,132.9
95,164,132.9
95,166,132.9
338,162,49.6
338,165,49.6
164,344,48.6
164,96,48.6
166,344,48.6
166,96,48.6
344,343,23.1
344,97,23.1
96,343,23.1
96,97,23.1
343,333,758.0
97,333,758.0
333,332,25.7
139,137,18.1
139,80,18.1
79,137,18.1
79,80,18.1
137,338,519.5
80,338,519.5
10,139,386.2
10,79,386.2
332,330,202.7
330,167,230.8
167,328,47.8
167,260,47.8
265,10,369.5
328,327,15.2
328,261,15.2
260,327,15.2
260,261,15.2
279,265,18.1
280,265,18.1
327,148,104.7
261,148,104.7
83,279,100.8
83,280,100.8
148,81,3.5
203,326,20.2
157,11,88.7
12,331,88.3
11,349,86.1
262,12,85.9
349,294,452.2
295,262,451.1
294,296,26.3
296,297,141.2
297,303,47.0
226,295,215.5
303,305,211.9
186,226,212.2
305,306,103.6
230,186,104.2
306,312,196.4
249,230,197.1
311,313,55.1
313,321,38.0
247,195,67.5
321,231,136.3
322,247,174.4
231,329,131.8
325,322,125.0
329,197,357.9
192,317,300.4
329,103,411.5
100,319,315.5
100,197,409.9
100,36,699.6
35,17,155.2
17,197,516.2
17,319,428.0
17,103,587.5
35,177,1019.4
173,170,16.4
177,189,83.5
20,173,92.5
170,140,193.2
140,134,63.0
353,222,23.3
224,318,41.6
142,353,23.2
316,142,15.1
318,315,60.6
143,316,44.5
314,143,115.0
315,310,134.6
309,314,102.5
310,144,83.1
308,309,52.5
144,250,53.1
307,308,75.5
250,356,165.6
293,307,74.9
292,293,58.2
356,355,42.9
291,292,55.4
355,207,63.4
286,288,61.7
288,112,95.0
112,147,50.2
301,300,50.8
147,304,113.1
304,152,49.6
290,289,13.9
289,301,147.7
285,286,74.7
172,153,30.1
176,172,205.7
191,236,27.1
236,83,525.5
81,203,251.2
179,199,99.4
152,302,54.3
302,291,78.9
207,154,67.5
154,290,56.5
300,299,160.9
300,58,160.9
299,298,159.9
299,59,159.9
299,194,159.9
58,298,159.9
58,59,159.9
58,194,159.9
114,285,75.6
69,285,75.6
151,191,603.6
181,191,603.6
153,141,275.7
312,131,298.6
312,132,298.6
131,311,121.8
132,311,121.8
195,249,406.6
189,160,467.6
141,20,427.4
273,276,18.2
273,41,18.2
40,276,18.2
40,41,18.2
276,175,144.0
276,37,144.0
41,175,144.0
41,37,144.0
255,269,118.5
255,34,118.5
38,269,118.5
38,34,118.5
175,202,62.8
175,39,62.8
37,202,62.8
37,39,62.8
225,255,71.4
225,38,71.4
42,255,71.4
42,38,71.4
202,205,54.9
202,22,54.9
39,205,54.9
39,22,54.9
52,225,127.8
52,42,127.8
53,225,127.8
53,42,127.8
205,206,65.1
205,43,65.1
22,206,65.1
22,43,65.1
206,60,44.5
206,61,44.5
43,60,44.5
43,61,44.5
212,52,44.8
212,53,44.8
44,52,44.8
44,53,44.8
60,213,58.9
60,45,58.9
61,213,58.9
61,45,58.9
98,212,58.8
98,44,58.8
101,212,58.8
101,44,58.8
213,214,88.8
213,47,88.8
45,214,88.8
45,47,88.8
217,238,75.3
217,50,75.3
48,238,75.3
48,50,75.3
214,217,37.9
214,48,37.9
47,217,37.9
47,48,37.9
105,98,209.9
105,101,209.9
106,98,209.9
106,101,209.9
238,239,89.5
238,51,89.5
50,239,89.5
50,51,89.5
239,241,31.9
239,66,31.9
51,241,31.9
51,66,31.9
240,105,96.0
240,106,96.0
25,105,96.0
25,106,96.0
241,244,81.3
241,54,81.3
66,244,81.3
66,54,81.3
108,240,113.0
108,25,113.0
109,240,113.0
109,25,113.0
244,245,58.7
244,55,58.7
54,245,58.7
54,55,58.7
245,246,34.6
245,56,34.6
55,246,34.6
55,56,34.6
348,108,45.0
348,109,45.0
57,108,45.0
57,109,45.0
248,348,123.3
248,57,123.3
62,348,123.3
62,57,123.3
46,348,123.3
46,57,123.3
49,348,123.3
49,57,123.3
246,251,187.3
246,29,187.3
56,251,187.3
56,29,187.3
251,215,34.8
251,216,34.8
29,215,34.8
29,216,34.8
252,248,134.3
252,62,134.3
252,46,134.3
252,49,134.3
67,248,134.3
67,62,134.3
67,46,134.3
67,49,134.3
253,252,94.1
253,67,94.1
68,252,94.1
68,67,94.1
215,218,94.2
215,219,94.2
216,218,94.2
216,219,94.2
218,114,84.7
218,69,84.7
219,114,84.7
219,69,84.7
298,253,73.0
298,68,73.0
59,253,73.0
59,68,73.0
194,253,73.0
194,68,73.0
127,133,25.2
133,122,196.5
123,121,237.1
122,115,288.1
116,123,287.5
115,233,535.5
233,138,58.6
233,259,58.6
134,116,538.2
138,177,218.3
259,177,218.3
